class_id,class_name,correct,total,accuracy
488,Roseate Spoonbill,29,29,1.0
788,Purple Finch (Adult Male),52,52,1.0
367,Black-bellied Plover (Breeding),35,35,1.0
962,Snow Bunting (Nonbreeding),51,52,0.9807692307692307
523,Wilson's Snipe,53,55,0.9636363636363636
797,Vermilion Flycatcher (Adult male),51,53,0.9622641509433962
368,Spotted Sandpiper (Breeding),49,51,0.9607843137254902
539,Great Horned Owl,44,46,0.9565217391304348
779,Bobolink (Breeding male),52,55,0.9454545454545454
503,Semipalmated Plover,51,54,0.9444444444444444
335,Hooded Merganser (Breeding male),50,53,0.9433962264150944
507,Black-necked Stilt,31,33,0.9393939393939394
372,Broad-billed Hummingbird (Adult Male),46,49,0.9387755102040817
770,Scarlet Tanager (Breeding Male),46,49,0.9387755102040817
336,Common Merganser (Breeding male),30,32,0.9375
667,Spotted Sandpiper (Nonbreeding/juvenile),44,47,0.9361702127659575
794,American Goldfinch (Breeding Male),56,60,0.9333333333333333
757,American Redstart (Adult Male),56,60,0.9333333333333333
363,American Kestrel (Adult male),56,60,0.9333333333333333
328,Harlequin Duck (Male),40,43,0.9302325581395349
850,Varied Thrush,52,56,0.9285714285714286
516,Ruddy Turnstone,51,55,0.9272727272727272
846,Veery,38,41,0.926829268292683
889,Eastern Towhee,50,54,0.9259259259259259
468,Ruffed Grouse,37,40,0.925
829,Canyon Wren,24,26,0.9230769230769231
297,Ruddy Duck (Breeding male),35,38,0.9210526315789473
863,Blue-winged Warbler,35,38,0.9210526315789473
366,Common Gallinule (Adult),45,49,0.9183673469387755
668,Sanderling (Nonbreeding/juvenile),45,49,0.9183673469387755
777,Indigo Bunting (Adult Male),55,60,0.9166666666666666
910,Western Meadowlark,55,60,0.9166666666666666
795,Evening Grosbeak (Adult Male),55,60,0.9166666666666666
749,Fox Sparrow (Red),55,60,0.9166666666666666
856,European Starling (Nonbreeding Adult),55,60,0.9166666666666666
894,American Tree Sparrow,54,59,0.9152542372881356
753,American Robin (Adult),54,59,0.9152542372881356
774,Black-headed Grosbeak (Adult Male),53,58,0.9137931034482759
827,Brown Creeper,53,58,0.9137931034482759
535,Greater Roadrunner,31,34,0.9117647058823529
338,California Quail (Male),51,56,0.9107142857142857
986,Bobolink (Female/juvenile/nonbreeding male),30,33,0.9090909090909091
637,California Quail (Female/juvenile),20,22,0.9090909090909091
1010,Dark-eyed Junco (Red-backed/Gray-headed),39,43,0.9069767441860465
969,Black-throated Blue Warbler (Female/Immature male),29,32,0.90625
318,Blue-winged Teal (Male),38,42,0.9047619047619048
928,Black Phoebe,54,60,0.9
365,Purple Gallinule (Adult),36,40,0.9
549,Belted Kingfisher,54,60,0.9
772,Northern Cardinal (Adult Male),54,60,0.9
352,Black-crowned Night-Heron (Adult),54,60,0.9
314,Wood Duck (Breeding male),54,60,0.9
864,Black-and-white Warbler,54,60,0.9
538,Eastern Screech-Owl,45,50,0.9
762,Black-throated Blue Warbler (Adult Male),53,59,0.8983050847457628
786,Baltimore Oriole (Adult male),53,59,0.8983050847457628
781,Yellow-headed Blackbird (Adult Male),44,49,0.8979591836734694
354,White Ibis (Adult),52,58,0.896551724137931
466,Scaled Quail,17,19,0.8947368421052632
340,Ring-necked Pheasant (Male),42,47,0.8936170212765957
509,Solitary Sandpiper,50,56,0.8928571428571429
508,American Avocet,48,54,0.8888888888888888
339,Gambel's Quail (Male),31,35,0.8857142857142857
828,Cactus Wren,38,43,0.8837209302325582
773,Rose-breasted Grosbeak (Adult Male),53,60,0.8833333333333333
803,Horned Lark,53,60,0.8833333333333333
903,Lincoln's Sparrow,53,60,0.8833333333333333
987,Red-winged Blackbird (Female/juvenile),53,60,0.8833333333333333
778,Painted Bunting (Adult Male),52,59,0.8813559322033898
780,Red-winged Blackbird (Male),52,59,0.8813559322033898
666,Black-bellied Plover (Nonbreeding/juvenile),37,42,0.8809523809523809
346,Eared Grebe (Breeding),37,42,0.8809523809523809
751,Orchard Oriole (Adult Male),37,42,0.8809523809523809
393,Pigeon Guillemot (Breeding),37,42,0.8809523809523809
530,Inca Dove,44,50,0.88
322,Green-winged Teal (Male),36,41,0.8780487804878049
377,Calliope Hummingbird (Adult Male),36,41,0.8780487804878049
517,Black Turnstone,41,47,0.8723404255319149
985,Painted Bunting (Female/juvenile),34,39,0.8717948717948718
838,American Dipper,27,31,0.8709677419354839
825,Pygmy Nuthatch,33,38,0.868421052631579
469,Wild Turkey,52,60,0.8666666666666667
904,Swamp Sparrow,52,60,0.8666666666666667
544,Northern Saw-whet Owl,39,45,0.8666666666666667
819,Tufted Titmouse,52,60,0.8666666666666667
885,Wilson's Warbler,52,60,0.8666666666666667
316,American Wigeon (Breeding male),39,45,0.8666666666666667
997,House Finch (Female/immature),45,52,0.8653846153846154
492,Swallow-tailed Kite,25,29,0.8620689655172413
542,Burrowing Owl,37,43,0.8604651162790697
761,Blackpoll Warbler (Breeding male),37,43,0.8604651162790697
862,Northern Waterthrush,48,56,0.8571428571428571
521,Least Sandpiper,51,60,0.85
548,White-throated Swift,34,40,0.85
343,Common Loon (Breeding),51,60,0.85
949,Steller's Jay,51,60,0.85
1002,Evening Grosbeak (Female/Juvenile),51,60,0.85
758,Magnolia Warbler (Breeding male),51,60,0.85
504,Killdeer,51,60,0.85
787,Pine Grosbeak (Adult Male),28,33,0.8484848484848485
865,Prothonotary Warbler,39,46,0.8478260869565217
849,Wood Thrush,39,46,0.8478260869565217
857,American Pipit,49,58,0.8448275862068966
669,Dunlin (Nonbreeding/juvenile),49,58,0.8448275862068966
965,Magnolia Warbler (Female/immature male),38,45,0.8444444444444444
528,White-winged Dove,48,57,0.8421052631578947
791,Red Crossbill (Adult Male),21,25,0.84
750,Summer Tanager (Adult Male),42,50,0.84
315,Gadwall (Breeding male),47,56,0.8392857142857143
936,Scissor-tailed Flycatcher,31,37,0.8378378378378378
505,American Oystercatcher,41,49,0.8367346938775511
319,Cinnamon Teal (Male),46,55,0.8363636363636363
1004,"Vermilion Flycatcher (Female, immature)",30,36,0.8333333333333334
760,Chestnut-sided Warbler (Breeding male),50,60,0.8333333333333334
835,Marsh Wren,50,60,0.8333333333333334
884,Canada Warbler,50,60,0.8333333333333334
477,Anhinga,50,60,0.8333333333333334
929,Eastern Phoebe,50,60,0.8333333333333334
529,Mourning Dove,50,60,0.8333333333333334
790,House Finch (Adult Male),50,60,0.8333333333333334
823,Red-breasted Nuthatch,50,60,0.8333333333333334
524,American Woodcock,25,30,0.8333333333333334
814,Chestnut-backed Chickadee,45,54,0.8333333333333334
834,Winter Wren,45,54,0.8333333333333334
888,Spotted Towhee,50,60,0.8333333333333334
994,Pine Grosbeak (Female/juvenile),34,41,0.8292682926829268
337,Red-breasted Merganser (Breeding male),34,41,0.8292682926829268
370,Dunlin (Breeding),29,35,0.8285714285714286
344,Horned Grebe (Breeding),29,35,0.8285714285714286
954,Clark's Nutcracker,38,46,0.8260869565217391
479,Brown Pelican,28,34,0.8235294117647058
638,Gambel's Quail (Female/juvenile),14,17,0.8235294117647058
541,Northern Pygmy-Owl,41,50,0.82
653,White Ibis (Immature),27,33,0.8181818181818182
454,Greater White-fronted Goose,27,33,0.8181818181818182
320,Northern Shoveler (Breeding male),49,60,0.8166666666666667
881,Townsend's Warbler,49,60,0.8166666666666667
485,Green Heron,49,60,0.8166666666666667
355,"Bald Eagle (Adult, subadult)",49,60,0.8166666666666667
878,Yellow-throated Warbler,49,60,0.8166666666666667
830,Carolina Wren,49,60,0.8166666666666667
561,Pileated Woodpecker,49,60,0.8166666666666667
950,Blue Jay,49,60,0.8166666666666667
952,Western Scrub-Jay,49,60,0.8166666666666667
960,American Robin (Juvenile),49,60,0.8166666666666667
506,Black Oystercatcher,40,49,0.8163265306122449
955,Black-billed Magpie,31,38,0.8157894736842105
789,Cassin's Finch (Adult Male),31,38,0.8157894736842105
375,Anna's Hummingbird (Adult Male),44,54,0.8148148148148148
859,Cedar Waxwing,44,54,0.8148148148148148
373,Ruby-throated Hummingbird (Adult Male),44,54,0.8148148148148148
371,Wilson's Phalarope (Breeding),43,53,0.8113207547169812
329,Surf Scoter (Male),30,37,0.8108108108108109
847,Swainson's Thrush,47,58,0.8103448275862069
930,Say's Phoebe,47,58,0.8103448275862069
321,Northern Pintail (Breeding male),34,42,0.8095238095238095
491,Osprey,42,52,0.8076923076923077
810,Barn Swallow,46,57,0.8070175438596491
842,Eastern Bluebird,48,60,0.8
792,White-winged Crossbill (Adult Male),16,20,0.8
840,Ruby-crowned Kinglet,48,60,0.8
898,Vesper Sparrow,48,60,0.8
332,Bufflehead (Breeding male),48,60,0.8
883,Black-throated Green Warbler,48,60,0.8
350,Little Blue Heron (Adult),48,60,0.8
746,Dark-eyed Junco (Slate-colored),48,60,0.8
935,Eastern Kingbird,48,60,0.8
832,House Wren,43,54,0.7962962962962963
990,Brown-headed Cowbird (Female/Juvenile),39,49,0.7959183673469388
901,Fox Sparrow (Sooty),34,43,0.7906976744186046
763,Lark Bunting (Breeding male),15,19,0.7894736842105263
934,Western Kingbird,41,52,0.7884615384615384
631,Bufflehead (Female/immature male),26,33,0.7878787878787878
532,Monk Parakeet,22,28,0.7857142857142857
478,American White Pelican,22,28,0.7857142857142857
785,Bullock's Oriole (Adult male),40,51,0.7843137254901961
513,Whimbrel,40,51,0.7843137254901961
333,Common Goldeneye (Breeding male),40,51,0.7843137254901961
1001,American Goldfinch (Female/Nonbreeding Male),47,60,0.7833333333333333
470,Pied-billed Grebe,47,60,0.7833333333333333
979,Northern Cardinal (Female/Juvenile),47,60,0.7833333333333333
908,Dickcissel,47,60,0.7833333333333333
776,Lazuli Bunting (Adult Male),36,46,0.782608695652174
540,Snowy Owl,36,46,0.782608695652174
662,"American Kestrel (Female, immature)",43,55,0.7818181818181819
999,White-winged Crossbill (Female/juvenile),25,32,0.78125
890,Rufous-crowned Sparrow,32,41,0.7804878048780488
490,Turkey Vulture,46,59,0.7796610169491526
382,Northern Flicker (Yellow-shafted),46,59,0.7796610169491526
647,Double-crested Cormorant (Adult),42,54,0.7777777777777778
768,Dark-eyed Junco (Oregon),38,49,0.7755102040816326
518,Surfbird,31,40,0.775
514,Long-billed Curlew,41,53,0.7735849056603774
378,Broad-tailed Hummingbird (Adult Male),34,44,0.7727272727272727
876,Palm Warbler,34,44,0.7727272727272727
1003,House Sparrow (Female/Juvenile),44,57,0.7719298245614035
531,Common Ground-Dove,27,35,0.7714285714285715
752,Purple Martin (Adult male),27,35,0.7714285714285715
873,Northern Parula,46,60,0.7666666666666667
543,Barred Owl,46,60,0.7666666666666667
553,Red-bellied Woodpecker,46,60,0.7666666666666667
886,Yellow-breasted Chat,46,60,0.7666666666666667
317,Mallard (Breeding male),46,60,0.7666666666666667
756,Common Yellowthroat (Adult Male),46,60,0.7666666666666667
922,Pine Siskin,46,60,0.7666666666666667
522,Short-billed Dowitcher,46,60,0.7666666666666667
826,Brown-headed Nuthatch,29,38,0.7631578947368421
554,Yellow-bellied Sapsucker,45,59,0.7627118644067796
747,Yellow-rumped Warbler (Breeding Myrtle),45,59,0.7627118644067796
551,Gila Woodpecker,38,50,0.76
345,Red-necked Grebe (Breeding),22,29,0.7586206896551724
759,Bay-breasted Warbler (Breeding male),25,33,0.7575757575757576
634,Hooded Merganser (Female/immature male),25,33,0.7575757575757576
917,Gray-crowned Rosy-Finch,28,37,0.7567567567567568
844,Mountain Bluebird,37,49,0.7551020408163265
932,Great Crested Flycatcher,40,53,0.7547169811320755
798,Yellow-rumped Warbler (Winter/juvenile Myrtle),40,53,0.7547169811320755
853,Brown Thrasher,43,57,0.7543859649122807
473,Wood Stork,42,56,0.75
783,Brown-headed Cowbird (Male),45,60,0.75
616,Mallard (Female/Eclipse male),45,60,0.75
501,American Coot,45,60,0.75
515,Marbled Godwit,45,60,0.75
467,Northern Bobwhite,24,32,0.75
851,Gray Catbird,45,60,0.75
342,Pacific Loon (Breeding),15,20,0.75
860,Ovenbird,45,60,0.75
642,Common Loon (Nonbreeding/juvenile),45,60,0.75
670,"Wilson's Phalarope (Nonbreeding, juvenile)",21,28,0.75
676,"Calliope Hummingbird (Female, immature)",36,48,0.75
483,Tricolored Heron,45,60,0.75
879,Prairie Warbler,45,60,0.75
351,Reddish Egret (Dark morph),39,52,0.75
993,Baltimore Oriole (Female/Immature male),36,48,0.75
796,House Sparrow (Male),44,59,0.7457627118644068
843,Western Bluebird,44,59,0.7457627118644068
545,Common Nighthawk,29,39,0.7435897435897436
457,Canada Goose,23,31,0.7419354838709677
867,Orange-crowned Warbler,43,58,0.7413793103448276
948,Gray Jay,40,54,0.7407407407407407
651,Black-crowned Night-Heron (Immature),40,54,0.7407407407407407
613,Wood Duck (Female/Eclipse male),34,46,0.7391304347826086
615,American Wigeon (Female/Eclipse male),14,19,0.7368421052631579
484,Cattle Egret,36,49,0.7346938775510204
353,Yellow-crowned Night-Heron (Adult),44,60,0.7333333333333333
900,Savannah Sparrow,44,60,0.7333333333333333
974,Golden-crowned Sparrow (Immature),44,60,0.7333333333333333
376,Costa's Hummingbird (Adult Male),27,37,0.7297297297297297
907,Pyrrhuloxia,35,48,0.7291666666666666
980,Rose-breasted Grosbeak (Female/immature male),35,48,0.7291666666666666
964,American Redstart (Female/juvenile),43,59,0.7288135593220338
381,Red-headed Woodpecker (Adult),43,59,0.7288135593220338
793,Lesser Goldfinch (Adult Male),43,59,0.7288135593220338
395,Laughing Gull (Breeding),43,59,0.7288135593220338
546,Chimney Swift,24,33,0.7272727272727273
325,Ring-necked Duck (Breeding male),32,44,0.7272727272727273
897,Field Sparrow,37,51,0.7254901960784313
619,Northern Shoveler (Female/Eclipse male),29,40,0.725
295,Common Eider (Adult male),21,29,0.7241379310344828
550,Acorn Woodpecker,42,58,0.7241379310344828
984,Indigo Bunting (Female/juvenile),28,39,0.717948717948718
396,Heermann's Gull (Adult),28,39,0.717948717948718
652,Yellow-crowned Night-Heron (Immature),28,39,0.717948717948718
813,Mountain Chickadee,38,53,0.7169811320754716
947,Red-eyed Vireo,43,60,0.7166666666666667
822,Bushtit,43,60,0.7166666666666667
824,White-breasted Nuthatch,43,60,0.7166666666666667
559,Downy Woodpecker,43,60,0.7166666666666667
769,Chipping Sparrow (Breeding),43,60,0.7166666666666667
852,Northern Mockingbird,43,60,0.7166666666666667
887,Green-tailed Towhee,20,28,0.7142857142857143
639,Ring-necked Pheasant (Female/juvenile),10,14,0.7142857142857143
899,Lark Sparrow,42,59,0.711864406779661
527,Eurasian Collared-Dove,42,59,0.711864406779661
536,Barn Owl,37,52,0.7115384615384616
995,Purple Finch (Female/immature),32,45,0.7111111111111111
644,Red-necked Grebe (Nonbreeding/juvenile),22,31,0.7096774193548387
624,Ring-necked Duck (Female/Eclipse male),17,24,0.7083333333333334
489,Black Vulture,34,48,0.7083333333333334
525,Rock Pigeon,41,58,0.7068965517241379
